[2020-05-26 15:48:02,815][DEBUG]: ——————————test1——————————
[2020-05-26 15:48:08,688][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:48:08,688][DEBUG]: 测试成功
[2020-05-26 15:48:13,705][DEBUG]: 测试成功累计次数：1
[2020-05-26 15:48:13,705][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:48:15,706][DEBUG]: ——————————test2——————————
[2020-05-26 15:48:21,579][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:48:21,579][DEBUG]: 测试成功
[2020-05-26 15:48:26,470][DEBUG]: 测试成功累计次数：2
[2020-05-26 15:48:26,470][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:48:28,486][DEBUG]: ——————————test3——————————
[2020-05-26 15:48:34,409][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:48:34,409][DEBUG]: 测试成功
[2020-05-26 15:48:39,330][DEBUG]: 测试成功累计次数：3
[2020-05-26 15:48:39,330][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:48:41,345][DEBUG]: ——————————test4——————————
[2020-05-26 15:48:47,187][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:48:47,187][DEBUG]: 测试成功
[2020-05-26 15:48:52,174][DEBUG]: 测试成功累计次数：4
[2020-05-26 15:48:52,174][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:48:54,186][DEBUG]: ——————————test5——————————
[2020-05-26 15:49:00,266][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:49:00,266][DEBUG]: 测试成功
[2020-05-26 15:49:05,235][DEBUG]: 测试成功累计次数：5
[2020-05-26 15:49:05,235][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:49:07,235][DEBUG]: ——————————test6——————————
[2020-05-26 15:49:13,206][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:49:13,206][DEBUG]: 测试成功
[2020-05-26 15:49:18,018][DEBUG]: 测试成功累计次数：6
[2020-05-26 15:49:18,018][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:49:20,019][DEBUG]: ——————————test7——————————
[2020-05-26 15:49:25,931][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:49:25,932][DEBUG]: 测试成功
[2020-05-26 15:49:30,805][DEBUG]: 测试成功累计次数：7
[2020-05-26 15:49:30,805][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:49:32,806][DEBUG]: ——————————test8——————————
[2020-05-26 15:49:38,647][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:49:38,647][DEBUG]: 测试成功
[2020-05-26 15:49:43,744][DEBUG]: 测试成功累计次数：8
[2020-05-26 15:49:43,744][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:49:45,746][DEBUG]: ——————————test9——————————
[2020-05-26 15:49:51,653][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:49:51,653][DEBUG]: 测试成功
[2020-05-26 15:49:56,497][DEBUG]: 测试成功累计次数：9
[2020-05-26 15:49:56,497][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:49:58,498][DEBUG]: ——————————test10——————————
[2020-05-26 15:50:04,440][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:50:04,441][DEBUG]: 测试成功
[2020-05-26 15:50:09,321][DEBUG]: 测试成功累计次数：10
[2020-05-26 15:50:09,321][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:50:11,322][DEBUG]: ——————————test11——————————
[2020-05-26 15:50:17,278][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:50:17,279][DEBUG]: 测试成功
[2020-05-26 15:50:22,190][DEBUG]: 测试成功累计次数：11
[2020-05-26 15:50:22,190][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:50:24,192][DEBUG]: ——————————test12——————————
[2020-05-26 15:50:30,052][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:50:30,053][DEBUG]: 测试成功
[2020-05-26 15:50:34,862][DEBUG]: 测试成功累计次数：12
[2020-05-26 15:50:34,862][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:50:36,863][DEBUG]: ——————————test13——————————
[2020-05-26 15:50:42,703][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:50:42,703][DEBUG]: 测试成功
[2020-05-26 15:50:47,483][DEBUG]: 测试成功累计次数：13
[2020-05-26 15:50:47,483][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:50:49,498][DEBUG]: ——————————test14——————————
[2020-05-26 15:50:55,562][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:50:55,562][DEBUG]: 测试成功
[2020-05-26 15:51:00,499][DEBUG]: 测试成功累计次数：14
[2020-05-26 15:51:00,499][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:51:02,500][DEBUG]: ——————————test15——————————
[2020-05-26 15:51:08,405][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:51:08,405][DEBUG]: 测试成功
[2020-05-26 15:51:13,296][DEBUG]: 测试成功累计次数：15
[2020-05-26 15:51:13,296][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:51:15,296][DEBUG]: ——————————test16——————————
[2020-05-26 15:51:21,388][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:51:21,389][DEBUG]: 测试成功
[2020-05-26 15:51:26,199][DEBUG]: 测试成功累计次数：16
[2020-05-26 15:51:26,199][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:51:28,201][DEBUG]: ——————————test17——————————
[2020-05-26 15:51:34,162][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:51:34,163][DEBUG]: 测试成功
[2020-05-26 15:51:39,001][DEBUG]: 测试成功累计次数：17
[2020-05-26 15:51:39,001][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:51:41,001][DEBUG]: ——————————test18——————————
[2020-05-26 15:51:46,875][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:51:46,875][DEBUG]: 测试成功
[2020-05-26 15:51:51,678][DEBUG]: 测试成功累计次数：18
[2020-05-26 15:51:51,678][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:51:53,679][DEBUG]: ——————————test19——————————
[2020-05-26 15:51:59,467][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:51:59,467][DEBUG]: 测试成功
[2020-05-26 15:52:04,346][DEBUG]: 测试成功累计次数：19
[2020-05-26 15:52:04,346][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:52:06,347][DEBUG]: ——————————test20——————————
[2020-05-26 15:52:12,234][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:52:12,234][DEBUG]: 测试成功
[2020-05-26 15:52:17,133][DEBUG]: 测试成功累计次数：20
[2020-05-26 15:52:17,133][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:52:19,134][DEBUG]: ——————————test21——————————
[2020-05-26 15:52:24,954][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:52:24,954][DEBUG]: 测试成功
[2020-05-26 15:52:29,781][DEBUG]: 测试成功累计次数：21
[2020-05-26 15:52:29,781][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:52:31,796][DEBUG]: ——————————test22——————————
[2020-05-26 15:52:37,811][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:52:37,811][DEBUG]: 测试成功
[2020-05-26 15:52:42,716][DEBUG]: 测试成功累计次数：22
[2020-05-26 15:52:42,716][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:52:44,731][DEBUG]: ——————————test23——————————
[2020-05-26 15:52:50,654][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:52:50,654][DEBUG]: 测试成功
[2020-05-26 15:52:55,687][DEBUG]: 测试成功累计次数：23
[2020-05-26 15:52:55,687][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:52:57,702][DEBUG]: ——————————test24——————————
[2020-05-26 15:53:03,591][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:53:03,591][DEBUG]: 测试成功
[2020-05-26 15:53:08,482][DEBUG]: 测试成功累计次数：24
[2020-05-26 15:53:08,482][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:53:10,497][DEBUG]: ——————————test25——————————
[2020-05-26 15:53:16,326][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:53:16,326][DEBUG]: 测试成功
[2020-05-26 15:53:21,154][DEBUG]: 测试成功累计次数：25
[2020-05-26 15:53:21,154][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:53:23,169][DEBUG]: ——————————test26——————————
[2020-05-26 15:53:29,014][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:53:29,014][DEBUG]: 测试成功
[2020-05-26 15:53:33,854][DEBUG]: 测试成功累计次数：26
[2020-05-26 15:53:33,854][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:53:35,857][DEBUG]: ——————————test27——————————
[2020-05-26 15:53:41,859][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:53:41,859][DEBUG]: 测试成功
[2020-05-26 15:53:46,889][DEBUG]: 测试成功累计次数：27
[2020-05-26 15:53:46,889][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:53:48,904][DEBUG]: ——————————test28——————————
[2020-05-26 15:53:54,749][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:53:54,749][DEBUG]: 测试成功
[2020-05-26 15:53:59,577][DEBUG]: 测试成功累计次数：28
[2020-05-26 15:53:59,577][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:54:01,592][DEBUG]: ——————————test29——————————
[2020-05-26 15:54:07,515][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:54:07,515][DEBUG]: 测试成功
[2020-05-26 15:54:12,529][DEBUG]: 测试成功累计次数：29
[2020-05-26 15:54:12,529][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:54:14,529][DEBUG]: ——————————test30——————————
[2020-05-26 15:54:20,385][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:54:20,385][DEBUG]: 测试成功
[2020-05-26 15:54:25,179][DEBUG]: 测试成功累计次数：30
[2020-05-26 15:54:25,179][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:54:27,180][DEBUG]: ——————————test31——————————
[2020-05-26 15:54:33,014][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:54:33,014][DEBUG]: 测试成功
[2020-05-26 15:54:38,146][DEBUG]: 测试成功累计次数：31
[2020-05-26 15:54:38,146][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:54:40,147][DEBUG]: ——————————test32——————————
[2020-05-26 15:54:46,023][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:54:46,024][DEBUG]: 测试成功
[2020-05-26 15:54:50,961][DEBUG]: 测试成功累计次数：32
[2020-05-26 15:54:50,961][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:54:52,962][DEBUG]: ——————————test33——————————
[2020-05-26 15:54:58,865][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:54:58,865][DEBUG]: 测试成功
[2020-05-26 15:55:03,653][DEBUG]: 测试成功累计次数：33
[2020-05-26 15:55:03,653][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:55:05,654][DEBUG]: ——————————test34——————————
[2020-05-26 15:55:11,623][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:55:11,623][DEBUG]: 测试成功
[2020-05-26 15:55:16,529][DEBUG]: 测试成功累计次数：34
[2020-05-26 15:55:16,529][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:55:18,531][DEBUG]: ——————————test35——————————
[2020-05-26 15:55:24,490][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:55:24,490][DEBUG]: 测试成功
[2020-05-26 15:55:29,308][DEBUG]: 测试成功累计次数：35
[2020-05-26 15:55:29,308][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:55:31,310][DEBUG]: ——————————test36——————————
[2020-05-26 15:55:37,191][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:55:37,191][DEBUG]: 测试成功
[2020-05-26 15:55:42,108][DEBUG]: 测试成功累计次数：36
[2020-05-26 15:55:42,108][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:55:44,109][DEBUG]: ——————————test37——————————
[2020-05-26 15:55:49,948][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:55:49,948][DEBUG]: 测试成功
[2020-05-26 15:55:54,840][DEBUG]: 测试成功累计次数：37
[2020-05-26 15:55:54,840][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:55:56,842][DEBUG]: ——————————test38——————————
[2020-05-26 15:56:02,742][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:56:02,742][DEBUG]: 测试成功
[2020-05-26 15:56:07,568][DEBUG]: 测试成功累计次数：38
[2020-05-26 15:56:07,568][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:56:09,570][DEBUG]: ——————————test39——————————
[2020-05-26 15:56:15,589][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:56:15,590][DEBUG]: 测试成功
[2020-05-26 15:56:20,500][DEBUG]: 测试成功累计次数：39
[2020-05-26 15:56:20,500][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:56:22,501][DEBUG]: ——————————test40——————————
[2020-05-26 15:56:28,325][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:56:28,325][DEBUG]: 测试成功
[2020-05-26 15:56:33,313][DEBUG]: 测试成功累计次数：40
[2020-05-26 15:56:33,313][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:56:35,314][DEBUG]: ——————————test41——————————
[2020-05-26 15:56:41,145][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:56:41,146][DEBUG]: 测试成功
[2020-05-26 15:56:45,963][DEBUG]: 测试成功累计次数：41
[2020-05-26 15:56:45,963][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:56:47,964][DEBUG]: ——————————test42——————————
[2020-05-26 15:56:53,858][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:56:53,859][DEBUG]: 测试成功
[2020-05-26 15:56:58,708][DEBUG]: 测试成功累计次数：42
[2020-05-26 15:56:58,708][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:57:00,709][DEBUG]: ——————————test43——————————
[2020-05-26 15:57:06,679][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:57:06,680][DEBUG]: 测试成功
[2020-05-26 15:57:11,655][DEBUG]: 测试成功累计次数：43
[2020-05-26 15:57:11,655][DEBUG]: 测试失败累计次数：0
[2020-05-26 15:57:13,671][DEBUG]: ——————————test44——————————
[2020-05-26 15:57:19,575][DEBUG]: 收到数据：0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
[2020-05-26 15:57:19,575][DEBUG]: 测试成功
