[2020-06-08 19:10:56,881][DEBUG]: ————————test No.1
[2020-06-08 19:11:07,179][DEBUG]: usb插入成功！！！
[2020-06-08 19:11:07,180][DEBUG]: 插入成功率为：1.0
[2020-06-08 19:11:20,429][DEBUG]: usb已经拔出！！！
[2020-06-08 19:11:20,429][DEBUG]: 拔出成功率为：1.0
[2020-06-08 19:11:23,429][DEBUG]: ————————test No.2
[2020-06-08 19:11:33,629][DEBUG]: usb插入成功！！！
[2020-06-08 19:11:33,629][DEBUG]: 插入成功率为：1.0
[2020-06-08 19:11:46,854][DEBUG]: usb已经拔出！！！
[2020-06-08 19:11:46,854][DEBUG]: 拔出成功率为：1.0
[2020-06-08 19:11:49,854][DEBUG]: ————————test No.3
[2020-06-08 19:12:00,127][DEBUG]: usb插入成功！！！
[2020-06-08 19:12:00,127][DEBUG]: 插入成功率为：1.0
[2020-06-08 19:12:13,344][DEBUG]: usb已经拔出！！！
[2020-06-08 19:12:13,344][DEBUG]: 拔出成功率为：1.0
[2020-06-08 19:12:16,344][DEBUG]: ————————test No.4
[2020-06-08 19:12:26,614][DEBUG]: usb插入成功！！！
[2020-06-08 19:12:26,614][DEBUG]: 插入成功率为：1.0
[2020-06-08 19:12:39,822][DEBUG]: usb已经拔出！！！
[2020-06-08 19:12:39,822][DEBUG]: 拔出成功率为：1.0
[2020-06-08 19:12:42,822][DEBUG]: ————————test No.5
[2020-06-08 19:12:53,053][DEBUG]: usb插入成功！！！
[2020-06-08 19:12:53,053][DEBUG]: 插入成功率为：1.0
[2020-06-08 19:13:06,316][DEBUG]: usb已经拔出！！！
[2020-06-08 19:13:06,316][DEBUG]: 拔出成功率为：1.0
[2020-06-08 19:13:09,317][DEBUG]: ————————test No.6
[2020-06-08 19:13:19,530][DEBUG]: usb插入成功！！！
[2020-06-08 19:13:19,530][DEBUG]: 插入成功率为：1.0
[2020-06-08 19:13:32,741][DEBUG]: usb已经拔出！！！
[2020-06-08 19:13:32,741][DEBUG]: 拔出成功率为：1.0
[2020-06-08 19:13:35,741][DEBUG]: ————————test No.7
[2020-06-08 19:13:46,051][DEBUG]: usb插入成功！！！
[2020-06-08 19:13:46,052][DEBUG]: 插入成功率为：1.0
[2020-06-08 19:13:59,269][DEBUG]: usb已经拔出！！！
[2020-06-08 19:13:59,269][DEBUG]: 拔出成功率为：1.0
[2020-06-08 19:14:02,269][DEBUG]: ————————test No.8
[2020-06-08 19:14:12,482][DEBUG]: usb插入成功！！！
[2020-06-08 19:14:12,482][DEBUG]: 插入成功率为：1.0
[2020-06-08 19:14:25,741][DEBUG]: usb已经拔出！！！
[2020-06-08 19:14:25,741][DEBUG]: 拔出成功率为：1.0
[2020-06-08 19:14:28,741][DEBUG]: ————————test No.9
[2020-06-08 19:14:39,018][DEBUG]: usb插入成功！！！
[2020-06-08 19:14:39,018][DEBUG]: 插入成功率为：1.0
[2020-06-08 19:14:52,291][DEBUG]: usb已经拔出！！！
[2020-06-08 19:14:52,291][DEBUG]: 拔出成功率为：1.0
[2020-06-08 19:14:55,291][DEBUG]: ————————test No.10
[2020-06-08 19:15:05,569][DEBUG]: usb插入成功！！！
[2020-06-08 19:15:05,569][DEBUG]: 插入成功率为：1.0
[2020-06-08 19:15:18,843][DEBUG]: usb已经拔出！！！
[2020-06-08 19:15:18,843][DEBUG]: 拔出成功率为：1.0
